Time(s), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V), Volt(V)
4.173792,544.312500,-37.593750,-272.093750,412.968750,-265.468750,-457.531250,-1.625000,-1337.062500,-0.562500,0.320312,20.101562,0.312500,0.507812
4.236699,548.875000,-26.406250,-295.906250,416.593750,-273.218750,-446.156250,-2.023438,-1311.937500,-1.687500,-0.140625,-53.742188,-0.531250,0.890625
4.299588,539.437500,-33.781250,-273.093750,417.187500,-274.156250,-469.593750,-2.203125,-1428.937500,-2.437500,-0.054688,0.054688,0.414062,-0.476562
4.362506,543.656250,-31.812500,-292.156250,422.343750,-267.500000,-464.468750,-1.906250,-1406.250000,7.687500,0.281250,-53.531250,-0.101562,0.109375
4.425396,542.406250,-33.875000,-298.750000,416.093750,-272.187500,-439.843750,-1.601562,-1419.000000,-0.562500,0.085938,-8.062500,0.640625,0.617188
4.488386,539.375000,-34.593750,-283.000000,417.218750,-266.250000,-446.250000,-1.289062,-1210.125000,-1.875000,-0.062500,0.703125,0.757812,0.437500
4.551547,549.312500,-31.218750,-282.250000,417.968750,-264.812500,-455.593750,-2.718750,-1305.187500,-1.125000,0.218750,-12.734375,0.523438,0.265625
4.615927,536.343750,-28.843750,-288.437500,426.218750,-284.562500,-462.625000,-2.453125,-1422.562500,-0.187500,-0.007812,-20.851562,-0.046875,-0.203125
4.679632,536.625000,-33.062500,-289.250000,417.500000,-252.125000,-442.125000,-2.023438,-1316.250000,-0.562500,0.289062,-50.515625,0.335938,0.476562
4.742543,557.968750,-28.750000,-281.437500,412.250000,-270.031250,-454.343750,-1.546875,-1321.687500,-0.750000,0.054688,-19.968750,-0.257812,0.664062
4.805415,542.906250,-32.250000,-286.593750,421.093750,-264.656250,-457.000000,-2.390625,-1386.000000,-3.937500,0.000000,-47.882812,0.031250,0.367188
4.868848,546.375000,-25.281250,-283.812500,424.500000,-265.250000,-452.500000,-1.726562,-1296.375000,-0.562500,0.523438,-4.007812,-0.398438,0.468750
4.933299,555.375000,-37.250000,-284.250000,414.593750,-274.000000,-466.687500,-2.812500,-1415.625000,-2.062500,-0.226562,-4.093750,0.546875,0.156250
4.996583,549.625000,-31.156250,-272.593750,424.281250,-272.406250,-434.093750,-2.687500,-1241.250000,1.875000,0.187500,-34.414062,-0.460938,-0.203125
5.059771,548.750000,-25.812500,-281.687500,420.937500,-263.250000,-446.093750,-2.695312,-1208.625000,4.687500,0.414062,-0.796875,0.437500,1.304688
5.124218,562.750000,-21.187500,-290.281250,425.093750,-276.718750,-452.843750,-1.507812,-1376.812500,-0.187500,0.078125,4.460938,-0.476562,0.109375
5.187809,559.625000,-24.718750,-269.781250,422.937500,-269.968750,-436.906250,-2.335938,-1342.125000,-0.375000,0.046875,-12.789062,0.156250,0.671875
5.250723,543.187500,-25.187500,-280.937500,429.812500,-253.406250,-458.781250,-2.789062,-1259.250000,-0.562500,-0.171875,4.101562,0.593750,0.906250
5.313600,547.031250,-29.781250,-279.593750,423.406250,-272.500000,-441.250000,-2.992188,-1194.750000,0.000000,0.156250,-93.593750,0.093750,-0.093750
5.376475,569.000000,-33.437500,-283.906250,423.343750,-276.687500,-449.062500,-2.273438,-1311.375000,-0.750000,-0.164062,57.093750,0.265625,0.296875
5.439335,552.062500,-25.812500,-258.968750,425.843750,-277.125000,-432.812500,-1.617188,-1344.750000,-0.562500,0.296875,-40.757812,0.421875,-0.070312
5.502252,568.312500,-24.843750,-258.843750,415.718750,-275.250000,-451.437500,-3.187500,-1387.687500,10.125000,-0.046875,-13.070312,0.648438,0.523438
5.565454,553.250000,-26.000000,-262.375000,426.718750,-272.468750,-440.343750,-2.734375,-1307.812500,-1.125000,0.093750,46.359375,0.085938,-0.031250
5.629865,537.468750,-25.062500,-251.031250,432.406250,-251.781250,-435.812500,-3.804688,-1262.625000,-0.937500,0.132812,-85.265625,0.062500,0.617188
5.693589,577.750000,-11.906250,-265.781250,437.968750,-256.781250,-443.375000,-3.531250,-1248.562500,-0.750000,0.226562,32.335938,-0.156250,0.507812
5.756469,554.812500,-10.468750,-257.218750,433.218750,-279.718750,-436.312500,-3.273438,-1359.187500,2.250000,0.257812,-41.296875,0.296875,0.351562
5.819346,564.187500,-25.968750,-287.781250,429.906250,-276.250000,-446.093750,-4.226562,-1346.250000,0.000000,0.398438,24.453125,0.156250,0.000000
5.882741,544.500000,-19.187500,-256.437500,445.031250,-256.031250,-430.437500,-4.375000,-1308.750000,-0.187500,-0.156250,15.984375,0.242188,0.679688
5.947113,558.562500,-19.562500,-244.937500,443.562500,-260.187500,-433.250000,-4.695312,-1314.750000,-0.750000,0.406250,-33.562500,0.867188,0.398438
6.010375,580.687500,-29.062500,-285.468750,437.843750,-263.187500,-452.093750,-4.242188,-1259.062500,-0.562500,-0.007812,17.656250,-0.593750,0.468750
6.073562,545.031250,-14.906250,-252.437500,435.281250,-278.062500,-429.343750,-4.195312,-1350.000000,-0.750000,0.242188,-4.773438,-0.460938,0.359375
6.137984,570.281250,-7.968750,-271.937500,427.312500,-241.406250,-425.968750,-5.648438,-1333.125000,-0.750000,0.132812,-6.195312,0.140625,0.000000
6.201558,557.937500,-0.687500,-254.750000,425.875000,-273.531250,-447.187500,-3.835938,-1392.375000,0.000000,-0.031250,45.414062,0.000000,0.406250
6.264453,540.312500,-15.406250,-263.281250,440.312500,-247.625000,-427.187500,-5.632812,-1207.687500,2.437500,0.210938,-48.789062,0.335938,1.265625
6.327342,569.281250,-3.843750,-256.062500,456.812500,-257.250000,-443.656250,-6.664062,-1269.000000,-0.187500,0.156250,41.687500,0.242188,-0.968750
6.390222,576.031250,-12.406250,-271.343750,450.062500,-254.093750,-421.406250,-6.210938,-1355.625000,-0.187500,-0.289062,-44.335938,-0.148438,0.195312
6.453140,567.468750,-5.000000,-255.843750,456.937500,-243.812500,-413.343750,-7.031250,-1307.625000,-0.562500,0.226562,15.070312,0.304688,1.156250
6.516030,575.125000,-1.500000,-246.906250,453.250000,-255.062500,-423.500000,-8.625000,-1355.437500,0.000000,0.078125,8.265625,-0.359375,-0.023438
6.579215,599.500000,11.375000,-272.750000,468.500000,-254.718750,-412.281250,-9.546875,-1330.687500,0.375000,0.601562,-13.085938,1.851562,0.367188
6.643649,576.500000,16.593750,-238.656250,469.125000,-252.687500,-408.218750,-9.718750,-1353.937500,-2.437500,0.578125,8.828125,-0.257812,0.703125
6.707209,597.906250,13.625000,-236.125000,465.593750,-230.375000,-411.906250,-8.843750,-1368.187500,-0.937500,-0.375000,-37.609375,-0.203125,-0.296875
